Panel  / Part,Internal,Part / Panel Id,Replace,Replace with FBP,Material,Labour
Front Bumper,N,4,4199,0,0,0
Rear Bumper,N,5,4199,0,0,0
Left Fender,N,1,4199,0,0,0
Right Fender,N,2,4199,0,0,0
Trunk,N,10,4199,0,0,0
Bonnet,N,3,4199,0,0,0
Left Front Door,N,6,4999,800,0,800
Right Front Door,N,7,4999,800,0,800
Left Rear Door,N,8,4999,800,0,800
Right Rear Door,N,9,4999,800,0,800
Left Running Board,N,13,6199,2000,0,2000
Right Running Board,N,14,6199,2000,0,2000
Left Quarter Panel,N,11,6199,2000,0,2000
Right Quarter Panel,N,12,6199,2000,0,2000