car_id,355,,,,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,,,,,
4,Front Bumper NXT,typ 2,15000,2004 - 2006,,,,,
5,Rear Bumper,C,4427,2004 - 2006,,,,,
1,Left Fender,C,3377,2004 - 2006,,,,,
2,Right Fender,C,2587,2004 - 2006,,,,,
10,Trunk,C,9760,2004 - 2006,,,,,
3,Bonnet,C,6623,2004 - 2006,,,,,
6,Left Front Door,C,14142,2004 - 2006,,,,,
7,Right Front Door,C,13963,2004 - 2006,,,,,
8,Left Rear Door,C,12560,2004 - 2006,,,,,
9,Right Rear Door,C,12863,2004 - 2006,,,,,
13,Left Running Board,C,10137,2004 - 2006,,,,,
14,Right Running Board,C,9940,2004 - 2006,,,,,
11,Left Quarter Panel,C,12017,2004 - 2006,,,,,
12,Right Quarter Panel,C,12017,2004 - 2006,,,,,
15,Roof,C,12020,2004 - 2006,,,,,
33,Tow Cap,C,,,,,,,
27,Door Handel,C,450,2004 - 2006,,,,,
18,Side view mirror,C,2500,2004 - 2006,,,,,
60,Bumper Mount,,,,,,,,
21,Bumper Lining,C,950,2004 - 2006,,,,,
32,Fog Lamp Right,typ 2,2450,2004 - 2006,,,,,
39,Fog Lamp Left,typ 2,2450,2004 - 2006,,,,,
63,Fog lamp Mount,,,,,,,,
38,Headlight Right,typ 2 electrical,9500,2004 - 2006,,,,,
16,Headlight Left,typ 2 electrical,9500,2004 - 2006,,,,,
19,Taillight Right,C,1500,2004 - 2006,,,,,
20,Taillight Left,C,1500,2004 - 2006,,,,,
64,Sensors/Camera,,,,,,,,
65,Bumper Guard/Beading,,,,,,,,
66,Wheel Arch Lining,C,750,2004 - 2006,,,,,
67,Indicator,,,,,,,,
40,Right Fender Indicator,C,300,2004 - 2006,,,,,
41,Front Logo,C,2200,2004 - 2006,,,,,
44,Right Fender Monogram,C,300,2004 - 2006,,,,,
68,Lock & Latch BONNET,C,595,2004 - 2006,,,,,
69,Bonnet lining,C,3700,2004 - 2006,,,,,
70,Bonnet Mounts,,,,,,,,
30,Door beading,C,each 780,2004 - 2006,,,,,
71,Door inner beading,,,,,,,,
72,Window beading,C,,,,,,,
45,Window Glass,C,2200,2004 - 2006,,,,,
73,Window Glass Rubber Channel,C,,,,,,,
74,Glass Beading,C,550,,,,,,
75,Window Glass Lift Channel,C,1300,,,,,,
76,Power Window Switch,C,5400,,,,,,
77,Window Manual Switch,,,,,,,,
78,Power Window Motor,C,4900,,,,,,
79,Door Lock Mechanism,C,950,,,,,,
80,Central Locking Mechanism,,,,,,,,
81,Door Mounts,,,,,,,,
82,Fuel Cap,,,,,,,,
83,Wheel Arch Lining,,,,,,,,
84,Quarter glass,C,,,,,,,
85,Quarter glass Beading,C,,,,,,,
86,Trunk Door Lining,C,510,2004 - 2006,,,,,
87,Trunk Door Beading,,,,,,,,
88,Back Logo,C,1950,2004 - 2006,,,,,
89,Trunk Door Glass,PLAIN,2500,2004 - 2006,,,,,
89,Trunk Door Glass,PLAIN WITH MARK,3500,2004 - 2006,,,,,
89,Trunk Door Glass,DEFOGER,4800,2004 - 2006,,,,,
22,Number Plate,,,,,,,,
90,Number plate Light,C,270,2004 - 2006,,,,,
91,Inner Rubber Beading,,,,,,,,
36,Wiper,C,850,2004 - 2006,,,,,
92,Wiper Blades,,,,,,,,
93,Wiper Scuffing,,,,,,,,
55,Mud Flaps,C,1200,2004 - 2006,,,,,
94,Wheel Caps,C,700,2004 - 2006,,,,,
95,Alloy Wheels,,,,,,,,
96,Tires,,,,,,,,
97,After Market Fog Lamp,,,,,,,,
98,Interior Ambient Light,,,,,,,,
99,Bull Guard,,,,,,,,
100,After Market Antenna,C,1300,2004 - 2006,,,,,
101,Laser Cut Number Plates,C,,,,,,,
46,Windshield,C,6508,2004 - 2006,,,,,