car_id,66,,,,,
Part ID in Bumper,Part Name,Type,Price,,TYP 2  - MRP,
4,Front Bumper,C,2690,,2690,
5,Rear Bumper,C,5950,,5950,
1,Left Fender,C,1450,,1450,
2,Right Fender,C,1450,,1450,
10,Trunk,Basic,4800,,BASIC - 4800 & TOP END 8425,
10,Trunk,Top end,8425,,,
3,Bonnet,C,3900,,3900,
6,Left Front Door,C,6300,,6300,
7,Right Front Door,C,6300,,6300,
8,Left Rear Door,C,8600,,8600,
9,Right Rear Door,C,8600,,8600,
13,Left Running Board,,,,,
14,Right Running Board,,,,,
11,Left Quarter Panel,manual,4640,,"normal - 4640 , sports-4660",
11,Left Quarter Panel,sports,4660,,,
12,Right Quarter Panel,normal,4660,,"normal -4660 , sports -5310",
12,Right Quarter Panel,sports,5310,,,
15,Roof,C,4505,,4505,
33,Tow Cap,,,,,
27,Door Handel,,,,,
18,Side view mirror,manual,3050,,,
18,Side view mirror,power,7155,,,
60,Bumper Mount,,,,,
21,Bumper Lining,,,,,
42,Bumper Upper Grill,,,,,
43,Bumper Lower Grill,C,415,,415,
32,Fog Lamp Right,C,120,,120,
39,Fog Lamp Left,C,120,,120,
61,Fog Lamp Cover with fog lamp Cut,,,,,
62,Fog Lamp Cover without fog lamp Cut,,,,,
63,Fog lamp Mount,,,,,
31,Front Monogram,,,,,
38,Headlight Right,C,4150,,4150,
16,Headlight Left,C,4150,,4150,
19,Taillight Right ,dicky,1690,,"dicky - 1690 , qtr 1425",
19,Taillight Right ,quater,1425,,,
20,Taillight Left,dicky,1690,,"dicky - 1690 , qtr 1425",
20,Taillight Left,quater,1425,,,
64,Sensors/Camera,,,,,
65,Bumper Guard/Beading,,,,,
66,Wheel Arch Lining,,,,,
67,Indicator,,,,,
40,Right Fender Indicator,,,,,
41,Front Logo,,,,,
44,Right Fender Monogram,,,,,
68,Lock & Latch,,,,,
69,Bonnet lining,,,,,
70,Bonnet Mounts,,,,,
30,Door beading,,,,,
71,Door inner beading,,,,,
72,Window beading,,,,,
45,Window Glass,C,1320,,1320,
73,Window Glass Rubber Channel,,,,,
74,Glass Beading,C,415,,415,
75,Window Glass Lift Channel,,,,,
76,Power Window Switch,,,,,
77,Window Manual Switch,,,,,
78,Power Window Motor,,,,,
79,Door Lock Mechanism,,,,,
80,Central Locking Mechanism,,,,,
81,Door Mounts,,,,,
82,Fuel Cap,,,,,
83,Wheel Arch Lining,,,,,
84,Quarter glass,C,585,,585,
85,Quarter glass Beading,,,,,
86,Trunk Door Lining,,,,,
87,Trunk Door Beading,,,,,
88,Back Logo,,,,,
89,Trunk Door Glass,C,4145,,4145,
22,Number Plate,,,,,
90,Number plate Light,,,,,
91,Inner Rubber Beading,,,,,
36,Wiper,,,,,
92,Wiper Blades,,,,,
93,Wiper Scuffing,,,,,
55,Mud Flaps,,,,,
94,Wheel Caps,,,,,
95,Alloy Wheels,,,,,
96,Tires,,,,,
97,After Market Fog Lamp,,,,,
98,Interior Ambient Light,,,,,
99,Bull Guard,,,,,
100,After Market Antenna,,,,,
101,Laser Cut Number Plates,,,,,
46,Windshield,C,5000,,5000,