car_id,148,,,
Part ID in Bumper,Part Name,Type,Price,Model year
4,Front Bumper,C,2500,2005 - 2008
5,Rear Bumper,C,3000,2005 - 2008
1,Left Fender,C,3950,2005 - 2008
2,Right Fender,C,3950,2005 - 2008
10,Trunk,C,4950,2005 - 2008
3,Bonnet,C,5260,2005 - 2008
6,Left Front Door,C,8242,2005 - 2008
7,Right Front Door,C,8242,2005 - 2008
8,Left Rear Door,C,7856,2005 - 2008
9,Right Rear Door,C,7856,2005 - 2008
13,Left Running Board,C,11500,2005 - 2008
14,Right Running Board,C,11500,2005 - 2008
11,Left Quarter Panel,C,13122,2005 - 2008
12,Right Quarter Panel,C,13122,2005 - 2008
15,Roof,C,3400,2005 - 2008
33,Tow Cap,C,2000,2005 - 2008
27,Door Handel,C,410,2005 - 2008
18,Side view mirror,MANAUAL,1700,2005 - 2008
18,Side view mirror,ELECTRICAL,2950,2005 - 2008
60,Bumper Mount,,,
21,Bumper Lining,C,960,2005 - 2008
42,Bumper Upper Grill,TYP 1,3500,2005 - 2008
43,Bumper Lower Grill,TYP 1,850,2005 - 2008
32,Fog Lamp Right,TYP 1,4000,2005 - 2008
39,Fog Lamp Left,TYP 1,4000,2005 - 2008
61,Fog Lamp Cover with fog lamp Cut,C,300,2005 - 2008
62,Fog Lamp Cover without fog lamp Cut,C,300,2005 - 2008
63,Fog lamp Mount,,,
31,Front Monogram,C,1600,2005 - 2008
38,Headlight Right,TYP 1 WHITE,3500,2005 - 2008
38,Headlight Right,TYP 1 BLACK,3500,2005 - 2008
16,Headlight Left,TYP 1 WHITE,3500,2005 - 2008
16,Headlight Left,TYP 1 BLACK,3500,2005 - 2008
19,Taillight Right,C,1700,2005 - 2008
20,Taillight Left,C,1700,2005 - 2008
64,Sensors/Camera,,,
65,Bumper Guard/Beading,,,
66,Wheel Arch Lining,C,1300,2005 - 2008
67,Indicator,C,541,2005 - 2008
40,Right Fender Indicator,C,541,2005 - 2008
41,Front Logo,C,1600,2005 - 2008
44,Right Fender Monogram,C,300,2005 - 2008
68,Lock & Latch,C,632,2005 - 2008
69,Bonnet lining,C,2560,2005 - 2008
70,Bonnet Mounts,,,
30,Door beading,plain,800,2005 - 2008
30,Door beading,with chrom,3700,2005 - 2008
71,Door inner beading,,,
72,Window beading,C,4800,2005 - 2008
45,Window Glass,C,1300,2005 - 2008
73,Window Glass Rubber Channel,C,2600,2005 - 2008
74,Glass Beading,,,
75,Window Glass Lift Channel,,,
76,Power Window Switch,C,1800,2005 - 2008
77,Window Manual Switch,,,
78,Power Window Motor,C,4800,2005 - 2008
79,Door Lock Mechanism,C,4450,2005 - 2008
80,Central Locking Mechanism,,,
81,Door Mounts,,,
82,Fuel Cap Outer,C,450,2005 - 2008
83,Wheel Arch Lining,C,1300,2005 - 2008
84,Quarter glass,C,900,2005 - 2008
85,Quarter glass Beading,C,700,2005 - 2008
86,Trunk Door Lining,,,
87,Trunk Door Beading,,,
88,Back Logo,C,1200,2005 - 2008
89,Trunk Door Glass,,,
22,Number Plate,C,1550,2005 - 2008
90,Number plate Light,C,2100,2005 - 2008
91,Inner Rubber Beading,,,
36,Wiper,,,
92,Wiper Blades,C,850,2005 - 2008
93,Wiper Scuffing,,,
55,Mud Flaps,C,900,2005 - 2008
94,Wheel Caps,C,each 900,2005 - 2008
95,Alloy Wheels,,,
96,Tires,,,
97,After Market Fog Lamp,,,
98,Interior Ambient Light,,,
99,Bull Guard,,,
100,After Market Antenna,C,1500,2005 - 2008
101,Laser Cut Number Plates,,,
46,Windshield,C,4200,2005 - 2008