car_id,103,,,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,,,,
4,Front Bumper,Typ 2,2005,2013 - 2015,,,,
5,Rear Bumper,Typ 2,2232,2013 - 2015,,,,
1,Left Fender,Typ 2,2000,2013 - 2015,,,,
2,Right Fender,Typ 2,2000,2013 - 2015,,,,
10,Trunk,Typ 2,4853,2013 - 2015,,,,
3,Bonnet,Typ 2,4042,2013 - 2015,,,,
6,Left Front Door,Typ 2,6500,2013 - 2015,,,,
7,Right Front Door,Typ 2,6500,2013 - 2015,,,,
8,Left Rear Door,Typ 2,7500,2013 - 2015,,,,
9,Right Rear Door,Typ 2,7500,2013 - 2015,,,,
13,Left Running Board,Typ 2,9632,2013 - 2015,,,,
14,Right Running Board,Typ 2,10666,2013 - 2015,,,,
11,Left Quarter Panel,Typ 2,8013,2013 - 2015,,,,
12,Right Quarter Panel,Typ 2,8013,2013 - 2015,,,,
15,Roof,Typ 2,,,,,,
33,Tow Cap,Typ 2,2000,2013 - 2015,,,,
27,Door Handel,Typ 2,270,2013 - 2015,,,,
18,Side view mirror,Typ 2,1400,2013 - 2015,,,,
60,Bumper Mount,Typ 2,,,,,,
21,Bumper Lining,Typ 2,,,,,,
42,Bumper Upper Grill,Typ 2,,,,,,
43,Bumper Lower Grill,Typ 2,900,2013 - 2015,,,,
32,Fog Lamp Right,Typ 2,2500,2013 - 2015,,,,
39,Fog Lamp Left,Typ 2,2500,2013 - 2015,,,,
61,Fog Lamp Cover with fog lamp Cut,Typ 2,250,2013 - 2015,,,,
62,Fog Lamp Cover without fog lamp Cut,Typ 2,250,2013 - 2015,,,,
31,Front Monogram,Typ 2,1650,2013 - 2015,,,,
38,Headlight Right,Typ 2,3300,2013 - 2015,,,,
16,Headlight Left,Typ 2,3300,2013 - 2015,,,,
19,Taillight Right,Typ 2,1450,2013 - 2015,,,,
20,Taillight Left,Typ 2,1450,2013 - 2015,,,,
64,Sensors/Camera,Typ 2,,,,,,
65,Bumper Guard/Beading,Typ 2,,,,,,
66,Wheel Arch Lining,Typ 2,,,,,,
67,Indicator,Typ 2,550,2013 - 2015,,,,
40,Right Fender Indicator,Typ 2,550,2013 - 2015,,,,
41,Front Logo,Typ 2,1650,2013 - 2015,,,,
44,Right Fender Monogram,Typ 2,,,,,,
68,Lock & Latch BONNET,Typ 2,,,,,,
68,Lock & Latch DICKY,Typ 2,,,,,,
69,Bonnet lining,Typ 2,,,,,,
70,Bonnet Mounts,Typ 2,,,,,,
30,Door beading,Typ 2,,,,,,
71,Door inner beading,Typ 2,,,,,,
72,Window beading,Typ 2,,,,,,
45,Window Glass,Typ 2,3502,2013 - 2015,,,,
73,Window Glass Rubber Channel,Typ 2,,,,,,
74,Glass Beading,Typ 2,4200,2013 - 2015,,,,
75,Window Glass Lift Channel,Typ 2,,,,,,
75,Window Glass Lift Channel,Typ 2,,,,,,
76,Power Window Switch,Typ 2,,,,,,
77,Window Manual Switch,Typ 2,,,,,,
78,Power Window Motor,Typ 2,,,,,,
79,Door Lock Mechanism,Typ 2,,,,,,
79,Door Lock Mechanism,Typ 2,,,,,,
80,Central Locking Mechanism,Typ 2,,,,,,
81,Door Mounts,Typ 2,,,,,,
82,Fuel Cap,Typ 2,,,,,,
83,Wheel Arch Lining,Typ 2,,,,,,
84,Quarter glass,Typ 2,1000,2013 - 2015,,,,
85,Quarter glass Beading,Typ 2,200,2013 - 2015,,,,
86,Trunk Door Lining,Typ 2,,,,,,
87,Trunk Door Beading,Typ 2,,,,,,
88,Back Logo,Typ 2,,,,,,
89,Trunk Door Glass,Typ 2,,,,,,
22,Number Plate,Typ 2,,,,,,
90,Number plate Light,Typ 2,,,,,,
91,Inner Rubber Beading,Typ 2,,,,,,
36,Wiper,Typ 2,,,,,,
92,Wiper Blades,Typ 2,850,2013 - 2015,,,,
93,Wiper Scuffing,Typ 2,,,,,,
55,Mud Flaps,Typ 2,1500,2013 - 2015,,,,
94,Wheel Caps,Typ 2,each 1200,,,,,
95,Alloy Wheels,Typ 2,,,,,,
96,Tires,Typ 2,,,,,,
97,After Market Fog Lamp,Typ 2,,,,,,
98,Interior Ambient Light,Typ 2,,,,,,
99,Bull Guard,Typ 2,,,,,,
100,After Market Antenna,Typ 2,1500,2013 - 2015,,,,
101,Laser Cut Number Plates,Typ 2,,,,,,
46,Windshield,Typ 2,3502,2013 - 2015,,,,