car_id,357,,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,TYP 2Â  - MRP,
4,Front Bumper,TYP 1,1720,2010 - 2014,1464,
5,Rear Bumper,C,1750,,1750,
1,Left Fender,C,1260,,1260,
2,Right Fender,C,1260,,1260,
10,Trunk,C,5122,,5122,
3,Bonnet,C,3200,,3200,
6,Left Front Door,TYP 1,5400,2010 - 2014,7820,
7,Right Front Door,TYP 1,5400,2010 - 2014,7820,
8,Left Rear Door,TYP 1,7430,2010 - 2014,8499,
9,Right Rear Door,TYP 1,7430,2010 - 2014,8499,
13,Left Running Board,,,,,
14,Right Running Board,,,,,
11,Left Quarter Panel,C,2000,,2000,
12,Right Quarter Panel,C,2000,,2000,
15,Roof,C,3334,,3334,
33,Tow Cap,,,,,
27,Door Handel,,,,,
18,Side view mirror,TYP 1,1760,2010 - 2014,2250,
60,Bumper Mount,,,,,
21,Bumper Lining,,,,,
42,Bumper Upper Grill,C,855,,855,
43,Bumper Lower Grill,C,300,,300,
32,Fog Lamp Right,C,1160,,1160,
39,Fog Lamp Left,C,1160,,1160,
61,Fog Lamp Cover with fog lamp Cut,C,88,,88,
62,Fog Lamp Cover without fog lamp Cut,C,76,,76,
63,Fog lamp Mount,,,,,
31,Front Monogram,,,,,
38,Headlight Right,TYP 1,2459,2010 - 2014,2510,
16,Headlight Left,TYP 1,2459,2010 - 2014,2510,
19,Taillight Right,C,980,,980,
20,Taillight Left,C,980,,980,
64,Sensors/Camera,,,,,
65,Bumper Guard/Beading,,,,,
66,Wheel Arch Lining,,,,,
67,Indicator,,,,,
40,Right Fender Indicator,,,,,
41,Front Logo,,,,,
44,Right Fender Monogram,,,,,
68,Lock & Latch,,,,,
69,Bonnet lining,,,,,
70,Bonnet Mounts,,,,,
30,Door beading,,,,,
71,Door inner beading,,,,,
72,Window beading,,,,,
45,Window Glass,C,667,,667,
73,Window Glass Rubber Channel,,,,,
74,Glass Beading,C,500,,500,
75,Window Glass Lift Channel,,,,,
76,Power Window Switch,,,,,
77,Window Manual Switch,,,,,
78,Power Window Motor,,,,,
79,Door Lock Mechanism,,,,,
80,Central Locking Mechanism,,,,,
81,Door Mounts,,,,,
82,Fuel Cap,,,,,
83,Wheel Arch Lining,,,,,
84,Quarter glass,C,180,,180,
85,Quarter glass Beading,,,,,
86,Trunk Door Lining,,,,,
87,Trunk Door Beading,,,,,
88,Back Logo,,,,,
89,Trunk Door Glass,C,1550,,1950,
22,Number Plate,,,,,
90,Number plate Light,,,,,
91,Inner Rubber Beading,,,,,
36,Wiper,,,,,
92,Wiper Blades,,,,,
93,Wiper Scuffing,,,,,
55,Mud Flaps,,,,,
94,Wheel Caps,,,,,
95,Alloy Wheels,,,,,
96,Tires,,,,,
97,After Market Fog Lamp,,,,,
98,Interior Ambient Light,,,,,
99,Bull Guard,,,,,
100,After Market Antenna,,,,,
101,Laser Cut Number Plates,,,,,
46,Windshield,C,3250,,3250,